iter	Passed	Remaining
860	1027	165
861	1028	164
862	1029	163
863	1030	162
864	1033	161
865	1034	160
866	1035	158
867	1036	157
868	1037	156
869	1038	155
870	1039	153
871	1040	152
872	1040	151
873	1041	150
874	1042	148
875	1043	147
876	1044	146
877	1044	145
878	1046	143
879	1048	142
880	1049	141
881	1050	140
882	1051	139
883	1052	138
884	1052	136
885	1053	135
886	1054	134
887	1055	133
888	1056	131
889	1057	130
890	1058	129
891	1059	128
892	1060	127
893	1062	125
894	1063	124
895	1064	123
896	1065	122
897	1065	121
898	1066	119
899	1067	118
900	1068	117
901	1069	116
902	1070	114
903	1070	113
904	1071	112
905	1072	111
906	1073	110
907	1074	108
908	1075	107
909	1077	106
910	1079	105
911	1079	104
912	1080	103
913	1081	101
914	1082	100
915	1083	99
916	1084	98
917	1084	96
918	1085	95
919	1086	94
920	1087	93
921	1088	92
922	1089	90
923	1090	89
924	1092	88
925	1093	87
926	1094	86
927	1095	85
928	1096	83
929	1097	82
930	1098	81
931	1099	80
932	1100	79
933	1101	77
934	1102	76
935	1102	75
936	1103	74
937	1104	73
938	1105	71
939	1107	70
940	1108	69
941	1109	68
942	1110	67
943	1111	65
944	1112	64
945	1113	63
946	1113	62
947	1114	61
948	1115	59
949	1116	58
950	1117	57
951	1118	56
952	1119	55
953	1121	54
954	1122	52
955	1123	51
956	1124	50
957	1125	49
958	1126	48
959	1127	46
960	1128	45
961	1129	44
962	1130	43
963	1131	42
964	1132	41
965	1133	39
966	1134	38
967	1137	37
968	1138	36
969	1139	35
970	1140	34
971	1141	32
972	1141	31
973	1142	30
974	1143	29
975	1144	28
976	1145	26
977	1146	25
978	1147	24
979	1148	23
980	1148	22
981	1149	21
982	1151	19
983	1153	18
984	1154	17
985	1155	16
986	1156	15
987	1157	14
988	1158	12
989	1159	11
990	1160	10
991	1161	9
992	1162	8
993	1163	7
994	1164	5
995	1165	4
996	1166	3
997	1168	2
998	1169	1
999	1169	0
